location_id,geometry
397,POINT (9.564643004576762 46.83374580976711)
398,POINT (9.612163500482792 46.82974021295012)
399,POINT (9.625077492772848 46.867761653007776)
400,POINT (9.672684358327855 46.863723291503646)
401,POINT (9.720316058036518 46.85966246047921)
402,POINT (9.707279190335704 46.82166183790955)
403,POINT (9.659708926461878 46.825712232405415)
404,POINT (9.646761432990067 46.78772789635496)
405,POINT (9.694270383514791 46.78368791048356)
406,POINT (9.681289553321225 46.74574070372813)
407,POINT (9.633841793981512 46.74977030880424)
408,POINT (9.586418879565963 46.75377761065505)
409,POINT (9.599277323949883 46.79174552370679)
410,POINT (9.551818148229321 46.795740822720404)
411,POINT (9.539020901567897 46.75776263941981)
412,POINT (9.491647951273702 46.7617254253445)
413,POINT (9.504383997456067 46.79971382368442)
414,POINT (9.45697496304975 46.80366455699414)
415,POINT (9.44430011976217 46.765665998781266)
416,POINT (9.396977497903853 46.76958439018791)
417,POINT (9.34968017636042 46.7734806301274)
418,POINT (9.362232607972281 46.81149934276235)
419,POINT (9.409591136221302 46.807593053151066)
420,POINT (9.422232015958468 46.8456286016992)
421,POINT (9.374812157960903 46.84954496798685)
422,POINT (9.387418908304415 46.887617480792294)
423,POINT (9.434900219421644 46.88369101075061)
424,POINT (9.482406825218002 46.87974222359333)
425,POINT (9.469677170657237 46.84168997364988)
426,POINT (9.517147530714261 46.83772905318755)
427,POINT (9.529938634007674 46.87577108862503)
428,POINT (9.54275739061766 46.913839904569805)
429,POINT (9.495164009686377 46.917821281471426)
430,POINT (9.507948807339154 46.955927121732664)
431,POINT (9.55560388414907 46.95193547539625)
432,POINT (9.568478198531759 46.990057775279624)
433,POINT (9.581380418022142 47.028206778195646)
434,POINT (9.53360157692661 47.03221904620377)
435,POINT (9.520761301777126 46.99405971862669)
436,POINT (9.473069600038135 46.998039147138535)
437,POINT (9.485847927889553 47.03620874342422)
438,POINT (9.43811956398328 47.04017590072826)
439,POINT (9.425403186038201 47.00199609164257)
440,POINT (9.412714339564664 46.963843068123495)
441,POINT (9.460318928352338 46.95989630904726)
442,POINT (9.44759582923705 46.92178025502585)
443,POINT (9.400052941299856 46.925716855972546)
444,POINT (9.352535437693534 46.92963111515769)
445,POINT (9.30504341002472 46.93352306353367)
446,POINT (9.317581401030639 46.97166942523042)
447,POINT (9.36513513314025 46.967767429852074)
448,POINT (9.377762152288337 47.00593058307396)
449,POINT (9.390416578067217 47.04412054909547)
450,POINT (9.34273906278725 47.04804271961322)
451,POINT (9.3301465910865 47.00984265247512)
452,POINT (9.28255659451692 47.01373233099519)
453,POINT (9.29508711057505 47.05194244347611)
454,POINT (9.24746081364741 47.05581975198547)
455,POINT (9.23499225444945 47.01759964988949)
456,POINT (9.222550726495184 46.97940644145652)
457,POINT (9.270053234974144 46.97554908536214)
458,POINT (9.257576949687316 46.937392732158536)
459,POINT (9.21013614786182 46.94124015219544)
460,POINT (9.197748436945783 46.903100807417054)
461,POINT (9.185387512461187 46.864988432234505)
462,POINT (9.232705274443772 46.86116080437483)
463,POINT (9.24512765671731 46.89926329676762)
464,POINT (9.292532535795134 46.89540359284095)
465,POINT (9.339962983341165 46.89152166451998)
466,POINT (9.327417687796999 46.853439103269814)
467,POINT (9.280048696388098 46.85731103841022)
468,POINT (9.267591810168145 46.819245425301936)
469,POINT (9.314899469094257 46.81538345654033)
470,POINT (9.302408245584015 46.77735474926732)
471,POINT (9.25516179581662 46.78120677837937)
472,POINT (9.207940917089434 46.78503674833884)
473,POINT (9.220309721563595 46.8230852799682)
474,POINT (9.17305329343834 46.826903051563754)
475,POINT (9.160745699222243 46.78884469012409)
476,POINT (9.148464649471112 46.75081337243856)
477,POINT (9.195598780348211 46.74701523408147)
478,POINT (9.183283230979633 46.70902076159482)
479,POINT (9.13621006415489 46.71280912283443)
480,POINT (9.123981863553775 46.674831965443694)
481,POINT (9.111779968256771 46.63688192420351)
482,POINT (9.158731574474311 46.63311303855159)
483,POINT (9.170994188934712 46.67105335508212)
484,POINT (9.218032175506881 46.66725288041243)
485,POINT (9.205708841726599 46.629322342940156)
486,POINT (9.252711681530998 46.62550980657633)
487,POINT (9.265095734455542 46.66343051059527)
488,POINT (9.277506459125654 46.70137825185016)
489,POINT (9.230382059019318 46.70521048156196)
490,POINT (9.24275857233018 46.74319512230922)
491,POINT (9.28994393593371 46.73935300618973)
492,POINT (9.337154781464578 46.73548885489354)
493,POINT (9.324656341939919 46.69752404167575)
494,POINT (9.37183161789359 46.69364782035766)
495,POINT (9.384391019018262 46.73160263769421)
496,POINT (9.431652558480565 46.72769432396895)
497,POINT (9.478939309528243 46.72376388319904)
498,POINT (9.46625798989972 46.68582922208204)
499,POINT (9.419032197208953 46.689749557317896)
500,POINT (9.40643895426781 46.651831723392284)
501,POINT (9.453603910385624 46.647921466630855)
502,POINT (9.440976989299424 46.61004064128653)
503,POINT (9.39387274829258 46.61394084656028)
504,POINT (9.346793723819003 46.61781908892564)
505,POINT (9.35929921317435 46.655719962669615)
506,POINT (9.312184776756029 46.659586214892904)
507,POINT (9.299740005195433 46.62167539876825)
508,POINT (9.287321946852138 46.58379161732987)
509,POINT (9.274930521630157 46.54593489441118)
510,POINT (9.321863168594865 46.54209838947573)
511,POINT (9.334315069098512 46.57994522322591)
512,POINT (9.38133349823221 46.576076950994484)
513,POINT (9.428377145269094 46.57218677029439)
514,POINT (9.415804297235628 46.534359877704446)
515,POINT (9.36882112334768 46.53824006067239)
516,POINT (9.356335543210538 46.50043019937691)
517,POINT (9.403258364451597 46.496559987371924)
518,POINT (9.390739266479686 46.45878712295771)
519,POINT (9.29703931011245 46.46648591247369)
520,POINT (9.309437942199615 46.504278611386006)
521,POINT (9.262565649742077 46.508105253651365)
522,POINT (9.250227251707592 46.470302718495915)
523,POINT (9.20344059027612 46.47409783907163)
524,POINT (9.156679413400978 46.47787130460906)
525,POINT (9.168897342748627 46.51569335046438)
526,POINT (9.215718753954983 46.511910156526234)
527,POINT (9.22802327089988 46.549749605877)
528,POINT (9.240354220270088 46.58761616374963)
529,POINT (9.193411977921627 46.59141889303)
530,POINT (9.181141504643087 46.5535425543725)
531,POINT (9.13428531089099 46.55731377049758)
532,POINT (9.146495308167678 46.595199835816885)
533,POINT (9.099604299160214 46.59895902285668)
534,POINT (9.087454777466348 46.561063284952155)
535,POINT (9.075331324681862 46.52319473384544)
536,POINT (9.12210150382593 46.51945486601966)
537,POINT (9.109943808458231 46.48162314561595)
538,POINT (9.06323386261648 46.48535339269913)
539,POINT (9.016549662836296 46.489062076563954)
540,POINT (8.96989129586963 46.49274922801385)
541,POINT (8.981868294666242 46.53060964941678)
542,POINT (9.02858689260286 46.526912984694164)
543,POINT (9.040649991982884 46.56479112853568)
544,POINT (9.052739038841688 46.60269648499586)
545,POINT (9.005899614944424 46.60641225318038)
546,POINT (8.99387104184471 46.568497332146634)
547,POINT (8.947118014245733 46.572181926781994)
548,POINT (8.959086114990047 46.6101063584552)
549,POINT (8.912298626288898 46.61377883196379)
550,POINT (8.90039099616911 46.57584494353675)
551,POINT (8.888508948480442 46.5379383443771)
552,POINT (8.935175617739642 46.53428475896227)
553,POINT (8.92325884825926 46.49641487794974)
554,POINT (8.876652406338227 46.50005905736957)
555,POINT (8.83007205622927 46.50368179736782)
556,POINT (8.841868373335213 46.54157043680477)
557,POINT (8.795253978539147 46.54518106748523)
558,POINT (8.78351788384428 46.50728312913496)
559,POINT (8.736989974883757 46.51086308395697)
560,POINT (8.690488414836256 46.51442169321481)
561,POINT (8.70210407387514 46.552338069043785)
562,POINT (8.748665850115522 46.548770267754435)
563,POINT (8.760366865731479 46.58670483892642)
564,POINT (8.713744751340702 46.59028185705061)
565,POINT (8.725410522796865 46.628253034623356)
566,POINT (8.77209309762713 46.624666774793305)
567,POINT (8.818802030827854 46.621059008745476)
568,POINT (8.807015335458287 46.58310636827129)
569,POINT (8.853690074386655 46.57948641360336)
570,POINT (8.865537235939478 46.61742970494758)
571,POINT (8.87740993484732 46.65540028782943)
572,POINT (8.889308248262992 46.693398139048504)
573,POINT (8.842451743307729 46.69704621680828)
574,POINT (8.830614141170692 46.65903896596836)
575,POINT (8.783844621993573 46.66265605248391)
576,POINT (8.737101464102057 46.666251578958764)
577,POINT (8.748817651410626 46.704277467061715)
578,POINT (8.795621515318919 46.700672648935)
579,POINT (8.807423854389697 46.73871654089085)
580,POINT (8.760559161174244 46.742330675744796)
581,POINT (8.772326070143322 46.78041118162782)
582,POINT (8.819251716292271 46.77678770490278)
583,POINT (8.866203731747094 46.773142505848696)
584,POINT (8.854314914359406 46.735080737940905)
585,POINT (8.901232253639893 46.73142323521151)
586,POINT (8.913182028733436 46.769475552731784)
587,POINT (8.960186519261281 46.76578681391661)
588,POINT (9.007217115125512 46.76207625786674)
589,POINT (8.99514541928419 46.72404300417063)
590,POINT (8.948175784572546 46.727744001117124)
591,POINT (8.936190942856053 46.68972838412)
592,POINT (8.924231916023302 46.65173998658136)
593,POINT (8.971079997484972 46.648058030835834)
594,POINT (8.98309973954421 46.686036920585025)
595,POINT (9.030034550571305 46.68232371710429)
596,POINT (9.017954091805723 46.64435438930245)
597,POINT (9.06485411134658 46.64062903078931)
598,POINT (9.076995287968277 46.678588742437455)
599,POINT (9.08916264748235 46.716575596268015)
600,POINT (9.042141069687652 46.720320212983836)
601,POINT (9.054273727906493 46.75834385314508)
602,POINT (9.101356268970658 46.75458956841456)
603,POINT (9.113576231822803 46.79263063481603)
604,POINT (9.12582261573759 46.83069877121629)
605,POINT (9.078617778193408 46.83447247015605)
606,POINT (9.06643260428623 46.79639461359759)
